EFST_PROVOKE 挑衅
EFST_ENDURE 霸体
EFST_TWOHANDQUICKEN 双手剑攻击速度增加
EFST_CONCENTRATION 心神凝聚
EFST_HIDING 隐匿
EFST_CLOAKING 伪装
EFST_ENCHANTPOISON 涂毒
EFST_POISONREACT 毒性反弹
EFST_QUAGMIRE 泥沼地
EFST_ANGELUS 天使之障壁
EFST_BLESSING 天使之赐福
EFST_CRUCIS 天使之光
EFST_INC_AGI 加速术
EFST_DEC_AGI 缓速术
EFST_SLOWPOISON 缓毒术
EFST_IMPOSITIO 神威祈福
EFST_SUFFRAGIUM 牺牲祈福
EFST_ASPERSIO 撒水祈福
EFST_BENEDICTIO 圣之祈福
EFST_KYRIE 霸邪之阵
EFST_MAGNIFICAT 圣母之颂歌
EFST_GLORIA 幸运之颂歌
EFST_LEXAETERNA 天使之怒
EFST_ADRENALINE 速度激发
EFST_WEAPONPERFECT 无视体型攻击
EFST_OVERTHRUST 凶砍
EFST_MAXIMIZE 武器值最大化
EFST_RIDING 骑宠中
EFST_FALCON 装备猎鹰
EFST_TRICKDEAD 装死
EFST_SHOUT 大声吶喊
EFST_ENERGYCOAT 能量外套
EFST_BROKENARMOR 防具破碎
EFST_BROKENWEAPON 武器破碎
EFST_ILLUSION 幻视
EFST_WEIGHTOVER50 负重超过50%
EFST_WEIGHTOVER90 负重超过90%
EFST_ATTHASTE_POTION1 集中药水
EFST_ATTHASTE_POTION2 觉醒药水
EFST_ATTHASTE_POTION3 菠色克药水
EFST_ATTHASTE_INFINITY 无限攻击加速
EFST_MOVHASTE_POTION 移动速度上升
EFST_MOVHASTE_INFINITY 无限移动加速
EFST_AUTOCOUNTER 反击
EFST_SPLASHER 毒性感染
EFST_ANKLESNARE 定位陷阱
EFST_POSTDELAY 动作延迟
EFST_NOACTION
EFST_IMPOSSIBLEPICKUP
EFST_BARRIER 能源外套
EFST_NOEQUIPWEAPON 卸除武器
EFST_NOEQUIPSHIELD 卸除盾牌
EFST_NOEQUIPARMOR 卸除铠甲
EFST_NOEQUIPHELM 卸除头盔
EFST_PROTECTWEAPON 化学武器保护
EFST_PROTECTSHIELD 化学盾牌保护
EFST_PROTECTARMOR 化学铠甲保护
EFST_PROTECTHELM 化学头盔保护
EFST_AUTOGUARD 自动防御
EFST_REFLECTSHIELD 反射盾
EFST_DEVOTION 牺牲
EFST_PROVIDENCE 神佑之光
EFST_DEFENDER 光之盾
EFST_WEAPONPROPERTY 赋与武器属性(肯贝特)
EFST_AUTOSPELL 自动念咒
EFST_SPECIALZONE 特殊领域
EFST_MASK 兽人脸
EFST_SPEARQUICKEN 长矛加速术
EFST_BDPLAYING
EFST_WHISTLE 吹口哨
EFST_ASSASSINCROSS 刺客的黄昏
EFST_POEMBRAGI 布莱奇之诗
EFST_APPLEIDUN 伊登的苹果
EFST_HUMMING 哼唱之音
EFST_DONTFORGETME 勿忘我
EFST_FORTUNEKISS 女神之吻
EFST_SERVICEFORYOU 为您服务
EFST_RICHMANKIM 经验值倍增
EFST_ETERNALCHAOS 永远的混沌
EFST_DRUMBATTLEFIELD 战鼓震天
EFST_RINGNIBELUNGEN 尼贝隆根之戒指
EFST_ROKISWEIL 洛奇的悲鸣
EFST_INTOABYSS 触媒之所
EFST_SIEGFRIED 不死神齐格弗里德
EFST_BLADESTOP 真剑百破道
EFST_EXPLOSIONSPIRITS 爆气
EFST_STEELBODY 金刚不坏
EFST_EXTREMITYFIST 阿修罗霸凰拳
EFST_COMBOATTACK 连续技准备(六合拳)
EFST_PROPERTYFIRE 火焰属性附加
EFST_PROPERTYWATER 水属性附加
EFST_PROPERTYWIND 风属性附加
EFST_PROPERTYGROUND 地属性附加
EFST_STOP 停止
EFST_WEAPONBRAKER 破坏武器
EFST_PROPERTYUNDEAD 不死属性附加
EFST_POWERUP
EFST_AGIUP
EFST_SIEGEMODE 围攻模式
EFST_INVISIBLE 潜行
EFST_STATUSONE
EFST_AURABLADE 灵气剑
EFST_PARRYING 双剑格挡
EFST_LKCONCENTRATION 集中攻击
EFST_TENSIONRELAX 极速回复
EFST_BERSERK 狂怒之枪
EFST_SACRIFICE 舍命攻击
EFST_GOSPEL 圣音
EFST_ASSUMPTIO 圣母之祈福
EFST_BASILICA 神圣殿堂
EFST_GROUNDMAGIC
EFST_MAGICPOWER 魔力增幅
EFST_EDP 致命涂毒
EFST_TRUESIGHT 狙杀瞄准
EFST_WINDWALK 风之步
EFST_MELTDOWN 野蛮凶砍
EFST_CARTBOOST 手推车加速
EFST_CHASEWALK 暗影追踪
EFST_SWORDREJECT 霸王魂
EFST_MARIONETTE_MASTER 傀儡师的把戏(施展)
EFST_MARIONETTE 傀儡师的把戏
EFST_MOON 月光
EFST_BLOODING 出血
EFST_JOINTBEAT 巧打
EFST_MINDBREAKER 精神撼动
EFST_MEMORIZE 速读术
EFST_FOGWALL 薄雾墙
EFST_SPIDERWEB 易燃之网
EFST_PROTECTEXP 爸妈我爱您
EFST_SUB_WEAPONPROPERTY 怒爆
EFST_AUTOBERSERK 狂暴状态
EFST_RUN 跑步
EFST_TING 跑步减速
EFST_STORMKICK_ON 回旋准备
EFST_STORMKICK_READY 回旋踢
EFST_DOWNKICK_ON 砸踢准备
EFST_DOWNKICK_READY 砸踢
EFST_TURNKICK_ON 踢准备
EFST_TURNKICK_READY 转身踢
EFST_COUNTER_ON 还击准备
EFST_COUNTER_READY 还击踢
EFST_DODGE_ON 落法
EFST_DODGE_READY 飞脚踢
EFST_STRUP 冲刺
EFST_PROPERTYDARK 赋予暗属性
EFST_ADRENALINE2 所有速度激发
EFST_PROPERTYTELEKINESIS 赋予念属性
EFST_SOULLINK 灵魂
EFST_PLUSATTACKPOWER 攻击力增加(雄黄酒)
EFST_PLUSMAGICPOWER 魔法攻击力增加(艾草)
EFST_DEVIL1 太阳和月亮和星星的恶魔
EFST_KAITE 魔法反射(凯易特)
EFST_SWOO 魔物变小移动降低(艾斯诬)
EFST_STAR2
EFST_KAIZEL 可立即复活(凯易哲)
EFST_KAAHI 受物理伤害消耗SP恢复Hp(凯阿希)
EFST_KAUPE 物理攻击回避一次(凯诬仆)
EFST_SMA_READY 可咏唱艾斯麻
EFST_SKE 魔物攻击力X4防御力%2(艾斯克)
EFST_ONEHANDQUICKEN 单手剑攻击速度增加
EFST_FRIEND 太阳和月亮和星星的朋友
EFST_FRIENDUP
EFST_SG_SUN_WARM 太阳的温暖
EFST_SG_MOON_WARM 月亮的温暖
EFST_SG_STAR_WARM 星星的温暖
EFST_EMOTION 显示表情
EFST_SUN_COMFORT 太阳的平安感
EFST_MOON_COMFORT 月亮的平安感
EFST_STAR_COMFORT 星星的平安感
EFST_EXPUP
EFST_GDSKILL_BATTLEORDER 下达战斗命令
EFST_GDSKILL_REGENERATION 复兴公会员体力
EFST_GDSKILL_POSTDELAY
EFST_RESISTHANDICAP
EFST_MAXHPPERCENT 最大HP百分比
EFST_MAXSPPERCENT 最大SP百分比
EFST_DEFENCE 圣音
EFST_SLOWDOWN
